bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
18003,382770,22394264,3074,10569861,0,0
15250,268494,15965348,2656,7545330,0,0
14893,181358,10889646,2543,5057220,0,0
18801,360191,21984191,3314,10434444,0,0
18056,374403,22303470,3339,10497992,0,0
47419,370030,22163377,8271,10360321,0,0
15638,155034,9157202,2710,4209227,0,0
4837,121013,6718416,724,3173889,0,0
16081,367940,21727231,2768,10506469,0,0
10479,92714,5708182,1708,2664508,0,0
14828,378126,22031840,2746,10544393,0,0
15241,306294,16905797,2718,7966366,0,0
10673,283625,16888848,1832,8015573,0,0
3758,167235,10724039,568,5125831,0,0
13633,356783,22395926,2429,10614286,0,0
18224,338171,21534138,3030,10137846,0,0
14257,383456,21775346,2336,10433106,0,0
8301,80221,4764242,1373,2193946,0,0
6808,379312,22288561,1145,10624951,0,0
12632,183790,10651118,2145,4926520,0,0
13051,386544,21981907,2235,10488431,0,0
17321,394268,21558731,2934,10179590,0,0
11120,194496,11082195,1856,5218567,0,0
14420,385534,22003476,2430,10432405,0,0
14848,304566,16920453,2476,7981907,0,0
12004,346862,22006481,2129,10693200,0,0
8295,174303,11195911,1495,5331857,0,0
7627,89388,5697481,1272,2650208,0,0
9936,277116,16589223,1767,7954559,0,0
13911,376222,21598907,2428,10229187,0,0
13566,268565,16904701,2315,8003623,0,0
16055,180737,10931694,2737,5125575,0,0
9009,176033,10680461,1567,5069933,0,0
16573,284272,16913595,2875,7954808,0,0
41020,369977,21993666,7300,10373787,0,0
13600,192427,11196510,2455,5221230,0,0
5856,12754,770972,1036,288336,0,0
8440,359958,20665727,1407,9887793,0,0
18342,367997,22019939,3184,10655159,0,0
20250,385993,22179443,3666,10499598,0,0
15716,383558,22394082,2774,10700165,0,0
11827,337664,21558615,1963,10244800,0,0
16870,347603,22173489,2949,10431175,0,0
18364,353328,21499643,3182,10189378,0,0
16630,386658,21771543,2768,10374205,0,0
10174,184058,11246278,1796,5279434,0,0
14405,378080,22142784,2453,10456803,0,0
13173,382257,21504986,2184,10168644,0,0
14813,383128,21582630,2500,10190195,0,0
11456,374972,21743295,1975,10263506,0,0
14610,382235,21973563,2302,10579813,0,0
9793,175061,10667343,1528,5112119,0,0
13793,364877,21983796,2371,10434528,0,0
9000,91157,5718188,1533,2653149,0,0
12993,167255,10688333,2090,5027799,0,0
5349,172658,10956334,899,5337484,0,0
15850,352099,21562339,2839,10312076,0,0
47507,359224,21962801,8305,10188697,0,0
17100,168034,10605031,2888,4982729,0,0
8015,175730,10277428,1462,4872236,0,0
16897,377649,22414754,2896,10786474,0,0
20175,390752,22155663,3742,10488469,0,0
9853,96602,5741884,1738,2640014,0,0
13323,178089,10853830,2202,5176542,0,0
11340,366718,21953928,2025,10535334,0,0
11750,343775,22397438,2033,10654034,0,0
13413,177009,11075245,2282,5208961,0,0
16233,355686,21994816,2804,10457299,0,0
14375,369818,21580726,2361,10331967,0,0
17245,356375,21668330,3018,10278693,0,0
11034,175041,10447654,1816,4871435,0,0
6907,188613,10887342,1159,5117688,0,0
9191,294994,16905048,1557,7967170,0,0
8402,388813,22016850,1409,10444576,0,0
13668,392731,22377495,2360,10533931,0,0
14124,394377,22185769,2409,10570678,0,0
12874,396295,22197261,2098,10697060,0,0
16731,350890,21565120,2835,10169774,0,0
14141,168459,10469938,2399,4846503,0,0
4664,190650,10969356,798,5310476,0,0
22731,358627,21972622,4028,10460186,0,0
16150,369385,21709059,2748,10365622,0,0
21455,389895,22435966,3811,10613021,0,0
19481,370746,21565167,3388,10246496,0,0
14674,174623,10423182,2496,4834840,0,0
4117,168153,10958719,709,5202904,0,0
12157,347592,22391203,2102,10681205,0,0
13032,162590,10492154,2183,4917991,0,0
17862,369563,22172280,3211,10473746,0,0
11589,380952,21749182,1966,10415048,0,0
16329,358648,21669477,2823,10237578,0,0
12467,374211,21529364,2204,10124114,0,0
13482,392247,22213582,2307,10450607,0,0
15421,377380,21487554,2524,10127685,0,0
17461,375747,21492939,2912,10125329,0,0
15371,375331,21659513,2470,10220372,0,0
18196,390122,21570621,2894,10212536,0,0
16654,378213,21745160,2848,10252882,0,0
16295,335683,21447839,2819,10124085,0,0
8160,199343,11079397,1362,5249619,0,0
12367,393625,22209398,2068,10689005,0,0
44664,275828,16940069,7669,7794798,0,0
13084,180737,11239405,2352,5368525,0,0
15191,179246,11210762,2687,5259359,0,0
2386,100147,5775241,397,2733417,0,0
3825,95062,5375723,629,2522050,0,0
15427,367912,21566776,2783,10294965,0,0
18408,390875,21988491,3280,10339416,0,0
17656,371847,21757370,3057,10301489,0,0
12979,174916,10433662,2182,4825615,0,0
10446,322100,21749739,1746,10321098,0,0
12835,176511,10888777,2136,5108742,0,0
15758,362936,21765929,2737,10271306,0,0
10830,355487,21504727,1770,10312841,0,0
13207,363193,21989010,2201,10501173,0,0
12996,175784,10638166,2209,4934023,0,0
14257,380245,22001280,2458,10341824,0,0
11816,297058,16908250,2022,7912613,0,0
7340,378015,22026090,1227,10402598,0,0
8214,97999,5705095,1338,2652677,0,0
13105,380666,22007615,2295,10411390,0,0
6478,93963,5701810,1060,2628704,0,0
13511,380599,22026213,1992,10468116,0,0
15156,404012,22345042,2643,10499487,0,0
17302,364953,21541345,2955,10199234,0,0
10748,167689,10997417,1793,5095612,0,0
17964,380328,22004451,3019,10444178,0,0
11252,202348,11316150,1878,5272518,0,0
4919,197022,10903640,740,5191530,0,0
6576,101220,5692576,1077,2659223,0,0
8383,190779,10918915,1475,5182924,0,0
7605,94747,5709491,1295,2667186,0,0
11854,180056,10918857,2027,5147714,0,0
38423,370529,21977259,6798,10402833,0,0
17478,367673,22183337,3166,10534945,0,0
15523,191478,11115126,2618,5156276,0,0
8846,192582,10875488,1504,5122982,0,0
16855,296077,16900542,2989,7889383,0,0
10035,380806,21547241,1763,10273724,0,0
6944,93486,5613619,1234,2593893,0,0
7805,329064,22185489,1293,10516006,0,0
18610,370111,22412252,3189,10547892,0,0
17807,370151,21538709,3023,10095692,0,0
10536,363916,21568197,1702,10327542,0,0
8434,351226,21542742,1454,10407121,0,0
14066,178751,11103262,2325,5175944,0,0
