bus_accesses,llc_accesses,cycles,llc_misses,instr,cluster,phase
180334,54654,5674635,26556,542717,0,1
330258,101859,11080645,47671,1519379,0,1
324239,128968,17618134,62066,2892433,0,1
193427,78646,10992722,38038,1787142,0,1
121493,50158,6959394,23920,1124898,0,1
156061,64611,9045265,31296,1456993,0,1
62438,25071,3474235,12075,559911,0,1
123485,51861,7148028,24741,1151333,0,1
209625,86080,12021611,41465,1928089,0,1
173360,72548,10193571,35037,1639744,0,1
377453,208111,21379671,69610,3893901,0,1
195331,111161,11120770,35637,2059567,0,1
263666,152918,15226170,49106,2818947,0,1
34902,18256,1785528,5858,326278,0,1
119831,68361,6864999,22212,1269002,0,1
44410,24921,2535934,8231,464645,0,1
100820,55318,5708066,18109,1045595,0,1
10228,5635,534614,1831,89159,0,1
536939,202503,20819001,89918,2259746,0,1
561807,203703,22422494,97494,3425515,0,1
250598,100634,11391874,49103,1978937,0,1
258215,104131,11719411,50752,2027496,0,1
224744,92563,10509151,45116,1813980,0,1
371167,150673,16954334,73526,2957681,0,1
380131,212012,21432775,69763,3932039,0,1
194237,110701,11170042,35575,2057712,0,1
52644,29032,2869462,9311,528210,0,1
379960,219192,21961444,70798,4089187,0,1
539208,221927,22421906,88838,3215566,0,1
69452,21763,2224311,10519,205349,0,1
289457,87670,9084862,42632,857863,0,1
354569,106595,11087430,51967,1044626,0,1
215086,68319,7510902,31220,1180937,0,1
179689,67435,9358995,32377,1527308,0,1
306601,128007,17796388,61276,2847859,0,1
201353,82314,11380974,39494,1847634,0,1
191277,79674,11091824,38423,1801014,0,1
294792,121918,16942407,58527,2733751,0,1
298555,132364,16794130,57174,2799172,0,1
200461,113640,11387230,36408,2097040,0,1
193984,110525,10872374,35238,2031798,0,1
193211,112136,11078825,35928,2080108,0,1
392113,222309,22425786,71823,4148119,0,1
565527,223761,22442672,95141,2716516,0,1
306978,102978,11132862,48999,1296245,0,1
261264,101710,11497584,48584,2066423,0,1
253467,103751,11700844,49865,2006640,0,1
98746,40716,4602130,19801,792003,0,1
463408,189793,21496996,92130,3686234,0,1
105097,41644,4698231,20243,809148,0,1
264519,111497,12192330,51626,2122945,0,1
308458,179121,17891638,56746,3255612,0,1
